schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,VBVR-Pro: A Scalable and Verifiable Suite for Native Visual Reasoning,"['Junxiang Xu', 'Ruisi Wang', 'Fanyi Pu', 'Maijunxian Wang', 'Ran Ji', 'Tongxi Zhou', 'Chenyang Gu', 'Jing Zuo', 'Hongcan Xiao', 'Yimeng Geng', 'Wanqi Yin', 'Wei Chen', 'Oscar Qian', 'Zhengan Yan', 'Ziqi Huang', 'Haiwen Diao', 'Liang Pan', 'Bo Li', 'Xiangyu Fan', 'Dezhi Luo', 'Fengyuan Yu', 'Zehong Zhao', 'Qingying Gao', 'Tinghui Zhu', 'Yilan Zhang', 'Jingqi Tong', 'Pinyuan Feng', 'Zhengze Jiang', 'Letian Wang', 'Ziyu Guo', 'Renrui Zhang', 'Jieneng Chen', 'Sonia Joseph', 'Constantin Venhoff', 'Saman Motamed', 'Mengyue Yang', 'Chandra Sripada', 'Alan Yuille', 'Philip Torr', 'Lvmin Zhang', 'Vikash Kumar', 'Daniel Khashabi', 'Nikolaus Kriegeskorte', 'Raphaël Millière', 'Vincent C. Müller', 'Anyi Rao', 'Quan Wang', 'Ziwei Liu', 'Dahua Lin', 'Lei Yang', 'Hokin Deng', 'Zhongang Cai']",http://arxiv.org/abs/2608.26105v1,https://github.com/ai-research/vbvr-pro--a-scalable-and-,7869,2026-08-26T17:59:51+00:00,2026-08-27T11:50:38.212832+00:00
1.0,RESEARCH_PAPER,A Visual Dependence-Aware Framework for Multimodal Unsupervised Continual Post-Training,"['Kaichen Li', 'Zhilin Zhu', 'Jianhao Huang', 'Zhengqin Lai', 'Baochen Xiong', 'Zibo Shao', 'Yaguang Song', 'Linhui Xiao', 'Xiaoshan Yang', 'Changsheng Xu']",http://arxiv.org/abs/2608.26095v1,https://github.com/ai-research/a-visual-dependence-aware,4654,2026-08-26T17:57:04+00:00,2026-08-27T11:50:38.212920+00:00
1.0,RESEARCH_PAPER,MyoMechanix: Biomechanically-Grounded Compositional Skilled Activity Understanding and Coaching,"['Hao Yin', 'Paritosh Parmar', 'Lijun Gu', 'Lin Xu', 'Tianxiao Guo', 'Xiujin Liu', 'Tianyou Zheng', 'Yang Zhang', 'Weiwei Fu']",http://arxiv.org/abs/2608.26094v1,https://github.com/ai-research/myomechanix--biomechanica,6840,2026-08-26T17:56:33+00:00,2026-08-27T11:50:38.212951+00:00
1.0,RESEARCH_PAPER,PlanSightRAG: A Visual-First Multimodal RAG for Automating Question Answering and Compliance Checking for Civil Standard Plans,"['Nabaraj Subedi', 'Shuvo Dip Datta', 'Ahmed Abdelaty', 'Shivanand Venkanna Sheshappanavar']",http://arxiv.org/abs/2608.26091v1,https://github.com/ai-research/plansightrag--a-visual-fi,2319,2026-08-26T17:54:24+00:00,2026-08-27T11:50:38.212975+00:00
1.0,RESEARCH_PAPER,Finding and using interpretable latents in a neutrino foundation model with sparse autoencoders,"['Raphaël Bonnet-Guerrini', 'Johann Ioannou-Nikolaides', 'Inar Timiryasov', 'Vincenzo Piuri']",http://arxiv.org/abs/2608.26090v1,https://github.com/ai-research/finding-and-using-interpr,4033,2026-08-26T17:53:00+00:00,2026-08-27T11:50:38.212996+00:00
1.0,RESEARCH_PAPER,Planetary Prediction Engine: Autonomous Geospatial Prediction via Intelligent Data Selection and Foundation Model Embeddings,"['Evelyn Ma', 'Rama Kumar Pasumarthi', 'Kishwar Shafin', 'Mandar Sharma', 'Mimi Sun', 'Hamed Sadeghi', 'Dav M. Ebengo', 'Mbulayi Onesime', 'Rouslan Solomakhin', 'John Wamburu', 'William Ogallo', 'Aisha Walcott-Bryant', 'Sanxing Chen', 'Arbaaz Muslim', 'Yael Mayer', 'Ronald Ho', 'Roy Lee', 'Ruth Alcantara', 'Abdoulaye Diack', 'Monica Bharel', 'Lambert Rosique', 'Jeremy Amez-Droz', 'Christopher Haire', 'James Manyika', 'Yossi Matias', 'Niv Efron', 'Gautam Prasad', 'Shravya Shetty']",http://arxiv.org/abs/2608.26088v1,https://github.com/ai-research/planetary-prediction-engi,4273,2026-08-26T17:50:52+00:00,2026-08-27T11:50:38.213019+00:00
1.0,RESEARCH_PAPER,TraceML: An Empirical Analysis of Human-Agent Planning in Machine Learning Development,"['Jiarui Yan', 'Weiwei Sun', 'Sijie Li', 'Wenhan Li', 'Yiming Yang']",http://arxiv.org/abs/2608.26086v1,https://github.com/ai-research/traceml--an-empirical-ana,4916,2026-08-26T17:50:13+00:00,2026-08-27T11:50:38.213043+00:00
1.0,RESEARCH_PAPER,ICON Decomposition: Multivariate Concept-Level Explanations of Deep Representations for Model Auditing,"['Roshan Prakash Rane', 'Marco Simnacher', 'Manuel Pfeuffer', 'Marc-Andre Schulz', 'Nys Tjade Siegel', 'Maximilian Dreyer', 'Frederik Pahde', 'Wojciech Samek', 'Sonja Greven', 'Kerstin Ritter']",http://arxiv.org/abs/2608.26083v1,https://github.com/ai-research/icon-decomposition--multi,5398,2026-08-26T17:47:49+00:00,2026-08-27T11:50:38.213063+00:00
1.0,RESEARCH_PAPER,SwarmWorld: Stigmergic technological evolution in societies of language-model agents,"['Subhadeep Pal', 'Fiona Y. Wang', 'Markus J. Buehler']",http://arxiv.org/abs/2608.26081v1,https://github.com/ai-research/swarmworld--stigmergic-te,8150,2026-08-26T17:45:34+00:00,2026-08-27T11:50:38.213083+00:00
1.0,RESEARCH_PAPER,Gating Before Commitment: Anticipating Intent Divergence to Prevent Post-Interaction Decision Failures in Autonomous Driving,"['Cong Xu', 'Ravi Sankar']",http://arxiv.org/abs/2608.26074v1,https://github.com/ai-research/gating-before-commitment-,4439,2026-08-26T17:42:03+00:00,2026-08-27T11:50:38.213105+00:00
